Device ID,Model,Subscription,Price Range,Storage,Storage ID,Storage Unit,Min Price,Max Price,Before Promo Price,Base Min Price,Variation ID,Color Title,Color Variation ID,Has Stock,Sku,Has Device Variation Stock
108765,Galaxy S21 FE 5G,Unlimited Max+,,128,569,GO,0,779,0,,108764,Graphite,108761,True,13698,True
108765,Galaxy S21 FE 5G,Unlimited Max+,,128,569,GO,0,779,0,,108764,White,108762,True,13699,True
108765,Galaxy S21 FE 5G,Unlimited Max+,,128,569,GO,0,779,0,,108764,Green,108763,True,13700,True
108765,Galaxy S21 FE 5G,Unlimited Max+,,128,569,GO,0,779,0,,108764,Purple,108764,False,13701,True
97330,Reno 6 5G,Unlimited Max+,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True
97324,Galaxy A03S,Unlimited Max+,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True
112256,11T,Unlimited Max+,,128,569,GO,0,534,0,,112255,Grey,112255,True,13709,True
91835,Find X3 Neo 5G,Unlimited Max+,,256,1284,GO,0,755,0,,95483,Black,95483,False,13536,False
93039,X10,Unlimited Max+,,64,567,GO,0,289,0,,95534,Green,95534,True,13568,True
60232,Galaxy A32 5G,Unlimited Max+,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True
77977,Galaxy Xcover 5,Unlimited Max+,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True
78031,Mi 11 Lite 5G,Unlimited Max+,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True
91827,Galaxy A22 5G,Unlimited Max+,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True
91827,Galaxy A22 5G,Unlimited Max+,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True
92939,P Smart 2021,Unlimited Max+,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False
93126,Galaxy A52 S 5G,Unlimited Max+,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True
93126,Galaxy A52 S 5G,Unlimited Max+,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True
93126,Galaxy A52 S 5G,Unlimited Max+,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True
93126,Galaxy A52 S 5G,Unlimited Max+,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True
93021,8050,Unlimited Max+,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True
96322,iPhone 13 mini,Unlimited Extra+,,128,569,GO,0,1175,0,,96316,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited Extra+,,256,1284,GO,0,1175,0,,96320,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited Extra+,,512,1842,GO,0,1175,0,,96321,Midnight,96321,False,13651,True
96288,iPhone 13,Unlimited Extra+,,128,569,GO,0,1279,0,,96281,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited Extra+,,256,1284,GO,0,1279,0,,96286,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited Extra+,,512,1842,GO,0,1279,0,,96287,Midnight,96287,False,13641,True
96354,iPhone 13 Pro,Unlimited Extra+,,128,569,GO,104,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,256,1284,GO,104,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,512,1842,GO,104,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,1,1894,TO,104,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,128,569,GO,194,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,256,1284,GO,194,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,512,1842,GO,194,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,1,1894,TO,194,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,72,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,72,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,72,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,72,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,703,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,703,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,703,1865,0,,97719,Silver,97719,True,13549,True
36149,iPhone 12,Unlimited Extra+,,64,567,GO,0,869,0,,95337,Black,112249,True,13300,True
36149,iPhone 12,Unlimited Extra+,,128,569,GO,0,869,0,,112249,Black,112249,True,13300,True
36284,iPhone 12 Pro,Unlimited Extra+,,256,1284,GO,212,1535,0,,100785,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited Extra+,,256,1284,GO,212,1535,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,Unlimited Extra+,,512,1842,GO,212,1535,639,,95367,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited Extra+,,512,1842,GO,212,1535,639,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,Unlimited Extra+,,256,1284,GO,300,1405,0,,95417,Graphite,95417,True,13358,True
78049,A74 5G,Unlimited Extra+,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True
77995,Reno 4Z 5G,Unlimited Extra+,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True
100412,4,Unlimited Extra+,,256,1284,GO,0,689,0,,112613,Grey,112613,True,13687,True
104827,iPhone 11,Unlimited Extra+,,64,567,GO,0,645,0,,104826,Black,112252,True,13338,True
104827,iPhone 11,Unlimited Extra+,,128,569,GO,0,645,0,,112252,Black,112252,True,13338,True
108765,Galaxy S21 FE 5G,Unlimited Extra+,,128,569,GO,0,779,0,,108764,Graphite,108761,True,13698,True
108765,Galaxy S21 FE 5G,Unlimited Extra+,,128,569,GO,0,779,0,,108764,White,108762,True,13699,True
108765,Galaxy S21 FE 5G,Unlimited Extra+,,128,569,GO,0,779,0,,108764,Green,108763,True,13700,True
108765,Galaxy S21 FE 5G,Unlimited Extra+,,128,569,GO,0,779,0,,108764,Purple,108764,False,13701,True
97330,Reno 6 5G,Unlimited Extra+,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True
97324,Galaxy A03S,Unlimited Extra+,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True
112256,11T,Unlimited Extra+,,128,569,GO,0,534,0,,112255,Grey,112255,True,13709,True
91835,Find X3 Neo 5G,Unlimited Extra+,,256,1284,GO,0,755,0,,95483,Black,95483,False,13536,False
93039,X10,Unlimited Extra+,,64,567,GO,0,289,0,,95534,Green,95534,True,13568,True
60232,Galaxy A32 5G,Unlimited Extra+,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True
77977,Galaxy Xcover 5,Unlimited Extra+,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True
78031,Mi 11 Lite 5G,Unlimited Extra+,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True
91827,Galaxy A22 5G,Unlimited Extra+,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True
91827,Galaxy A22 5G,Unlimited Extra+,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True
92939,P Smart 2021,Unlimited Extra+,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False
93126,Galaxy A52 S 5G,Unlimited Extra+,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True
93126,Galaxy A52 S 5G,Unlimited Extra+,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True
93126,Galaxy A52 S 5G,Unlimited Extra+,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True
93126,Galaxy A52 S 5G,Unlimited Extra+,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True
93021,8050,Unlimited Extra+,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True
96354,iPhone 13 Pro,Unlimited Extra+,,128,569,GO,154,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,256,1284,GO,154,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,512,1842,GO,154,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited Extra+,,1,1894,TO,154,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,128,569,GO,244,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,256,1284,GO,244,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,512,1842,GO,244,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited Extra+,,1,1894,TO,244,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,122,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,122,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,122,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,Unlimited Extra+,,256,1284,GO,122,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,753,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,753,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,Unlimited Extra+,,256,1284,GO,753,1865,0,,97719,Silver,97719,True,13549,True
36284,iPhone 12 Pro,Unlimited Extra+,,256,1284,GO,262,1535,0,,100785,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited Extra+,,256,1284,GO,262,1535,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,Unlimited Extra+,,512,1842,GO,262,1535,689,,95367,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited Extra+,,512,1842,GO,262,1535,689,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,Unlimited Extra+,,256,1284,GO,350,1405,0,,95417,Graphite,95417,True,13358,True
96322,iPhone 13 mini,Unlimited+,,128,569,GO,0,1175,0,,96316,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited+,,256,1284,GO,0,1175,0,,96320,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited+,,512,1842,GO,0,1175,0,,96321,Midnight,96321,False,13651,True
96288,iPhone 13,Unlimited+,,128,569,GO,0,1279,0,,96281,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited+,,256,1284,GO,0,1279,0,,96286,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited+,,512,1842,GO,0,1279,0,,96287,Midnight,96287,False,13641,True
96354,iPhone 13 Pro,Unlimited+,,128,569,GO,104,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,256,1284,GO,104,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,512,1842,GO,104,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,1,1894,TO,104,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,Unlimited+,,128,569,GO,194,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,256,1284,GO,194,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,512,1842,GO,194,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,1,1894,TO,194,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,72,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,72,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,72,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,72,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,703,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,703,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,703,1865,0,,97719,Silver,97719,True,13549,True
36149,iPhone 12,Unlimited+,,64,567,GO,0,869,0,,95337,Black,112249,True,13300,True
36149,iPhone 12,Unlimited+,,128,569,GO,0,869,0,,112249,Black,112249,True,13300,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,212,1535,0,,100785,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,212,1535,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,212,1535,639,,95367,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,212,1535,639,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,Unlimited+,,256,1284,GO,300,1405,0,,95417,Graphite,95417,True,13358,True
78049,A74 5G,Unlimited+,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True
77995,Reno 4Z 5G,Unlimited+,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True
100412,4,Unlimited+,,256,1284,GO,0,689,0,,112613,Grey,112613,True,13687,True
104827,iPhone 11,Unlimited+,,64,567,GO,0,645,0,,104826,Black,112252,True,13338,True
104827,iPhone 11,Unlimited+,,128,569,GO,0,645,0,,112252,Black,112252,True,13338,True
108765,Galaxy S21 FE 5G,Unlimited+,,128,569,GO,0,779,0,,108764,Graphite,108761,True,13698,True
108765,Galaxy S21 FE 5G,Unlimited+,,128,569,GO,0,779,0,,108764,White,108762,True,13699,True
108765,Galaxy S21 FE 5G,Unlimited+,,128,569,GO,0,779,0,,108764,Green,108763,True,13700,True
108765,Galaxy S21 FE 5G,Unlimited+,,128,569,GO,0,779,0,,108764,Purple,108764,False,13701,True
97330,Reno 6 5G,Unlimited+,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True
97324,Galaxy A03S,Unlimited+,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True
112256,11T,Unlimited+,,128,569,GO,0,534,0,,112255,Grey,112255,True,13709,True
91835,Find X3 Neo 5G,Unlimited+,,256,1284,GO,0,755,0,,95483,Black,95483,False,13536,False
93039,X10,Unlimited+,,64,567,GO,0,289,0,,95534,Green,95534,True,13568,True
60232,Galaxy A32 5G,Unlimited+,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True
77977,Galaxy Xcover 5,Unlimited+,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True
78031,Mi 11 Lite 5G,Unlimited+,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True
91827,Galaxy A22 5G,Unlimited+,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True
91827,Galaxy A22 5G,Unlimited+,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True
92939,P Smart 2021,Unlimited+,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False
93126,Galaxy A52 S 5G,Unlimited+,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True
93126,Galaxy A52 S 5G,Unlimited+,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True
93126,Galaxy A52 S 5G,Unlimited+,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True
93126,Galaxy A52 S 5G,Unlimited+,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True
93021,8050,Unlimited+,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True
96354,iPhone 13 Pro,Unlimited+,,128,569,GO,154,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,256,1284,GO,154,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,512,1842,GO,154,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,1,1894,TO,154,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,Unlimited+,,128,569,GO,244,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,256,1284,GO,244,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,512,1842,GO,244,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,1,1894,TO,244,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,122,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,122,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,122,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,122,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,753,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,753,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,753,1865,0,,97719,Silver,97719,True,13549,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,262,1535,0,,100785,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,262,1535,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,262,1535,689,,95367,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,262,1535,689,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,Unlimited+,,256,1284,GO,350,1405,0,,95417,Graphite,95417,True,13358,True
96322,iPhone 13 mini,Unlimited+,,128,569,GO,10,1175,0,,96316,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited+,,256,1284,GO,10,1175,0,,96320,Midnight,96321,False,13651,True
96322,iPhone 13 mini,Unlimited+,,512,1842,GO,10,1175,0,,96321,Midnight,96321,False,13651,True
96288,iPhone 13,Unlimited+,,128,569,GO,99,1279,0,,96281,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited+,,256,1284,GO,99,1279,0,,96286,Midnight,96287,False,13641,True
96288,iPhone 13,Unlimited+,,512,1842,GO,99,1279,0,,96287,Midnight,96287,False,13641,True
96354,iPhone 13 Pro,Unlimited+,,128,569,GO,323,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,256,1284,GO,323,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,512,1842,GO,323,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,Unlimited+,,1,1894,TO,323,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,Unlimited+,,128,569,GO,413,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,256,1284,GO,413,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,512,1842,GO,413,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,Unlimited+,,1,1894,TO,413,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,291,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,291,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,291,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,Unlimited+,,256,1284,GO,291,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,922,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,922,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,Unlimited+,,256,1284,GO,922,1865,0,,97719,Silver,97719,True,13549,True
36149,iPhone 12,Unlimited+,,64,567,GO,10,869,0,,95337,Black,112249,True,13300,True
36149,iPhone 12,Unlimited+,,128,569,GO,10,869,0,,112249,Black,112249,True,13300,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,430,1535,0,,100785,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,256,1284,GO,430,1535,0,,100785,Silver,95367,True,13319,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,430,1535,855,,95367,Graphite,100786,True,13318,True
36284,iPhone 12 Pro,Unlimited+,,512,1842,GO,430,1535,855,,95367,Silver,95367,True,13319,True
42463,iPhone 12 Pro Max,Unlimited+,,256,1284,GO,519,1405,0,,95417,Graphite,95417,True,13358,True
96322,iPhone 13 mini,L+,,128,569,GO,0,1175,0,,96316,Midnight,96321,False,13651,True
96322,iPhone 13 mini,L+,,256,1284,GO,0,1175,0,,96320,Midnight,96321,False,13651,True
96322,iPhone 13 mini,L+,,512,1842,GO,0,1175,0,,96321,Midnight,96321,False,13651,True
96288,iPhone 13,L+,,128,569,GO,0,1279,0,,96281,Midnight,96287,False,13641,True
96288,iPhone 13,L+,,256,1284,GO,0,1279,0,,96286,Midnight,96287,False,13641,True
96288,iPhone 13,L+,,512,1842,GO,0,1279,0,,96287,Midnight,96287,False,13641,True
96354,iPhone 13 Pro,L+,,128,569,GO,104,1771,0,,96346,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,L+,,256,1284,GO,104,1771,0,,96350,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,L+,,512,1842,GO,104,1771,0,,96352,Graphite,96353,True,13662,True
96354,iPhone 13 Pro,L+,,1,1894,TO,104,1771,0,,96353,Graphite,96353,True,13662,True
96390,iPhone 13 Pro Max,L+,,128,569,GO,194,1875,0,,96382,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,L+,,256,1284,GO,194,1875,0,,96386,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,L+,,512,1842,GO,194,1875,0,,96388,Graphite,96389,True,13673,True
96390,iPhone 13 Pro Max,L+,,1,1894,TO,194,1875,0,,96389,Graphite,96389,True,13673,True
92988,Galaxy Z Flip3 5G,L+,,256,1284,GO,72,1139,0,,95489,Black,95486,True,13543,True
92988,Galaxy Z Flip3 5G,L+,,256,1284,GO,72,1139,0,,95489,White,95487,False,13544,True
92988,Galaxy Z Flip3 5G,L+,,256,1284,GO,72,1139,0,,95489,Green,95488,False,13545,True
92988,Galaxy Z Flip3 5G,L+,,256,1284,GO,72,1139,0,,95489,Purple,95489,False,13546,True
93002,Galaxy Z Fold3 5G,L+,,256,1284,GO,703,1865,0,,97719,Green,97718,True,13548,True
93002,Galaxy Z Fold3 5G,L+,,256,1284,GO,703,1865,0,,97719,Black,97717,False,13547,True
93002,Galaxy Z Fold3 5G,L+,,256,1284,GO,703,1865,0,,97719,Silver,97719,True,13549,True
